map_id,trigger_ref,working_name,public_safe_definition,definition_status,canon_level_now,source_handles,cluster_refs,layer_or_band,publication_lane,review_gates,correlation_refs,allowed_use_now,blocked_use_now,notes
TM001-174210-037,210,Frequenz-Fokus-Einrastung,"Rastet fokussierte Frequenzen ein, um ein stabiles mentales Arbeitsfeld zu schaffen.",defined_reference_export,L2-SOURCE-BACKED-REFERENCE,N-CODEX139-174210;N-CODEX-MASTER;L-ATLAS-MANIFEST-V11,Silvi-Modus Kognitiv,101-300,protected_biz_ip_review,source_review;definition_canon_gate;biz_tokenomics_review;ip_review,Codex139+;Silvi-Modus;Codex170_Plus;TNPX-01;Triggerliste_600_pending;CAP-II/Revoke;license_control,Use name and short definition as source-backed trigger-map entry.,"No canonical TRG assignment, activation protocol, public canon claim, medical claim or external mutation.","Codex139+ is an export/reference, not the normative master."
TM001-A001,102,Fixpunkt,Recover to fixed point / last stable CAP source.,known_anchor,L1-ANCHOR,L-TRIGGER-001;N-TRGMOD-NATIVE,RECOVER,101-200,internal,recovery_review,CAP;RECOVER,Use as recovery orientation.,Do not continue mutation during contradiction.,From TRIGGER-001 crosswalk and RECOVER spec.
TM001-A002,143,Kanonwaechter,Canon guard coupled to audit checks.,known_anchor,L1-ANCHOR,L-TRIGGER-001;N-TRGMOD-NATIVE,SAFE_MODE,101-200,internal,canon_review,CAP;SAFE_MODE,Compare claims against canon anchors.,Do not promote/demote canon without trace.,From TRIGGER-001 crosswalk and SAFE_MODE spec.
TM001-A003,148,Kontrollinstanz,Control instance for boundary selection.,known_anchor,L1-ANCHOR,L-TRIGGER-001;N-TRGMOD-NATIVE,SAFE_MODE,101-200,internal,boundary_review,CAP;SAFE_MODE,Select CAP state and deterministic boundary.,Do not proceed without boundary.,From TRIGGER-001 crosswalk and SAFE_MODE spec.
TM001-A004,516,Inspiration,Creative-flow inspiration anchor; also active as /inspire.,documented_subset,L2-ROUTING-MARKER,N-ACTIVE-SYSTEM-TABLE;N-TRGINDEX-V53;L-MMD-004-007;L-DEEP-REFERENCE-1-992,Creative Flow,401+,internal,direct_source_before_l3,Creative Flow;MMD;Atlas v1.1,Use as internal creative-flow routing marker.,No AutoFlow sibling semantics or public trigger definition.,MMD-007 admits bounded L2 routing marker.
TM001-A005,517,AutoFlow,Flow-state module after 516; active as /flow but held as caution lane.,documented_subset_caution,L1/L2-CAUTION,N-ACTIVE-SYSTEM-TABLE;N-TRGMOD-NATIVE;L-MMD-004-007,Creative Flow,401+,internal_caution,autoflow_source_review,Creative Flow;MMD;Trigger Modules,Use as named AutoFlow caution lane.,No automatic creative flow semantics or L3 execution.,SENS-002 keeps 517 under stop rules.
TM001-A006,520,SessionStart,Active /start core entrypoint and bounded session/root-state marker.,source_review_complete,L2-ROUTING-MARKER,N-ACTIVE-SYSTEM-TABLE;N-TRGMOD-NATIVE;N-TRGINDEX-V53;L-SOURCE-520-521,Core System,401+,internal,l3_contract_required,CAP;SessionStart;Preflight,Use as start-of-work-unit and session_opened routing marker.,"No init_all_modules execution, autonomous session control, external mutation permission, TRG assignment or public canon.",SOURCE-520 and TEST-520 completed earlier.
TM001-A007,521,Preflight,Active /preflight safety entrypoint and pre-action boundary gate.,source_review_complete,L2-ROUTING-MARKER-PROTECTED,N-ACTIVE-SYSTEM-TABLE;N-TRGMOD-NATIVE;N-TRGINDEX-V53;L-SOURCE-520-521,Core System;Protection Layer,401+,protected_internal,protection_contract_required;777_boundary_closed,CAP;Preflight;Protection,Use as protected pre-action routing gate.,"No automation, protection execution behavior, Schattenarchiv-depth import, TRG assignment or public canon.",SOURCE-521 upgraded from L1 protected to L2 routing marker.
TM001-A008,522,System Sync,Synchronizes subsystems after Preflight in Deep Reference flow.,documented_subset,L1-NAME-FLOW,L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,Core System,401+,internal,direct_source_before_l2,Core System;Sync,Use as named flow member.,No execution semantics or public canon.,Exact Notion source not yet independently reviewed.
TM001-A009,523,Health Check,Validates system health after System Sync in Deep Reference flow.,documented_subset,L1-NAME-FLOW,L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,Core System,401+,internal,direct_source_before_l2,Core System;Health,Use as named flow member.,No execution semantics or public canon.,Exact Notion source not yet independently reviewed.
TM001-A010,540,Observable Momentum / Momentum,Progress and energy visibility marker; active as /momentum.,documented_point,L2-ROUTING-MARKER,N-ACTIVE-SYSTEM-TABLE;L-MMD-004-007;L-DEEP-REFERENCE-1-992,Meta-Reflexion,401+,internal,prism_cap_text_before_l3,Momentum;Prism;MMD,Use as progress-visibility routing marker.,No proof-of-correctness or metric-finality claim.,MMD-007 admits bounded L2 routing marker.
TM001-A011,544,Synchronization Node / Sync-Knoten,Synchronization and decision-point routing marker; active as /sync.,documented_point,L2-ROUTING-MARKER,N-ACTIVE-SYSTEM-TABLE;N-TRGINDEX-V53;L-MMD-004-007,Meta-Reflexion,401+,internal,sync_scope_before_l3,Sync;Decision;MMD,Use as state-reconciliation routing marker.,No automatic full workspace sync or public canon.,MMD-007 admits bounded L2 routing marker.
TM001-A012,300-325,Metarotik band,"Intimate/creative trigger band recognized as active cluster, not expanded here.",identified_cluster,L1-CLUSTER,L-TRIGGER-COMPLEMENT;L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,Metarotik,301-400,protected_later,metarotik_review_later,Metarotik;Phenomenology,Preserve correlation as later review lane.,Do not expose detailed semantics before workspace/export/tokenomics/trigger basis is stable.,This pass intentionally defers Metarotik expansion.
TM001-A013,601,Flutung,Metarotik-adjacent special anchor.,documented_anchor,L1-ANCHOR,L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,Metarotik,401+,protected_later,metarotik_review_later,Metarotik;Flutung,Use only as protected correlation marker.,No public semantics or activation.,Deferred until Metarotik pass.
TM001-A014,700,Codex 700,Safety/readiness ritual anchor.,documented_anchor,L1-ANCHOR,L-TRIGGER-COMPLEMENT;L-ATLAS-MANIFEST-V11,Sicherheitsritual,401+,internal,ritual_source_review,Codex;Safety,Use as named safety/checkpoint anchor.,No ritual execution protocol.,Cluster confirmed in Atlas v1.1 complement.
TM001-A015,777,Schattenarchiv,Protected Schattenarchiv access/audit/backup/control variants.,documented_sensitive,PROTECTED-LANE,N-ACTIVE-SYSTEM-TABLE;L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,Schattenarchiv;Protection Layer,401+,protected_internal_only,explicit_review_required,Schattenarchiv;Sigma;Protection,Use as protected internal boundary marker.,"No normal module admission, public semantics, raw identity or depth exposure.",SENS-002 keeps 777 outside normal module admission.
TM001-A016,888,Truth and Efficiency,"Audit overlay for truth, efficiency, source, boundary and result.",documented_anchor,L2-AUDIT-OVERLAY,L-TRIGGER-001;L-TRIGGER-COMPLEMENT;L-ATLAS-MANIFEST-V11,Truth and Efficiency,overlay,internal_public_rule_ok,audit_consistency_review,CAP;Audit,Use as overlay before continuing after source/boundary risk.,Do not continue after failed audit.,Core Equilibrium audit anchor.
TM001-A017,988,Snapshot / Token Verify,Snapshot lockpoint or token verification anchor depending on source layer.,documented_sensitive_conflict,PROTECTED-LANE,N-ACTIVE-SYSTEM-TABLE;L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,Audit and Security,401+,protected_internal_only,security_token_review,MAXSync;TokenAccess;Audit,Use as protected audit/security marker.,No public token/security details or wallet/account exposure.,Name conflict is tracked in contradictions.
TM001-A018,989,Token Sync Beacon,Passive token sync beacon in active Notion table.,documented_sensitive,PROTECTED-LANE,N-ACTIVE-SYSTEM-TABLE;L-ATLAS-MANIFEST-V11,Audit and Security,401+,protected_internal_only,security_token_review,MAXSync;TokenAccess,Use as protected token-sync marker.,No public token or wallet operational detail.,Raw Deep Reference does not enumerate 989 label in same way.
TM001-A019,990,Audit / Audit Seal,Audit entry point or audit seal depending on source layer.,documented_sensitive_conflict,PROTECTED-LANE,N-ACTIVE-SYSTEM-TABLE;L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,Audit and Security,401+,protected_internal_only,security_token_review,Audit;MAXSync,Use as protected audit marker.,No public security execution semantics.,Name conflict is tracked in contradictions.
TM001-A020,991,ZIP Integrity Pulse,ZIP integrity pulse in active Notion table.,documented_sensitive,PROTECTED-LANE,N-ACTIVE-SYSTEM-TABLE;L-ATLAS-MANIFEST-V11,Audit and Security,401+,protected_internal_only,security_token_review,ZIP;Integrity;MAXSync,Use as protected integrity marker.,No raw ZIP or token security details.,Active table is operational source.
TM001-A021,992,TriggerMap Echo Sync / Session Close,Echo-sync or session-close anchor depending on source layer.,documented_sensitive_conflict,PROTECTED-LANE,N-ACTIVE-SYSTEM-TABLE;L-DEEP-REFERENCE-1-992;L-ATLAS-MANIFEST-V11,Audit and Security,401+,protected_internal_only,security_token_review,Echo Sync;Session Close;MAXSync,Use as protected sync/close marker.,No public security execution semantics.,Name conflict is tracked in contradictions.
TM001-A022,999,Coherence,Workspace coherence anchor; active as /coherence.,documented_anchor,L2-AUDIT-ROUTING,N-ACTIVE-SYSTEM-TABLE;L-TRIGGER-COMPLEMENT;L-ATLAS-MANIFEST-V11,Truth and Efficiency,401+,internal_public_rule_ok,audit_consistency_review,CAP;Coherence,Use as coherence audit route.,No claim of automatic full workspace correction.,Part of active emergency chain.
TM001-A023,1001,Ponyverse Sync / Pegasus,Pegasus/Ponyverse sync and output-log analysis anchor.,documented_anchor,L1/L2-ANCHOR,N-TRGINDEX-V53;L-TRIGGER-COMPLEMENT;L-ATLAS-MANIFEST-V11,Pegasus,401+,internal,pegasus_review,Pegasus;Ponyverse,Use as output-log analysis/sync marker.,No public execution protocol.,Names vary by source layer; preserve both as correlation.
